year,type,fat,dmg
2022,British Aerospace 4121 Jetstream 41,0,sub
2022,British Aerospace 3101 Jetstream 31,0,sub
2022,Boeing 737-4H6,0,sub
2022,Tupolev Tu-204-100C,0,w/o
2022,Beechcraft 200 Super King Air,0,w/o
2022,Airbus A320-214 (WL),0,non
2022,Cessna 208B Grand Caravan EX,0,sub
2022,Airbus A320-232,0,sub
2022,Bombardier CL-600-2B16 Challenger 604,0,sub
2022,Bombardier CL-600-2B16 Challenger 604,0,sub
2022,Beechcraft B300 King Air 350,0,sub
2022,Hawker 1000,0,sub
2022,Cessna 208B Grand Caravan,0,sub
2022,Embraer ERJ-190-100LR,0,sub
2022,Antonov An-26,0,sub
2022,Cessna 501 Citation I/SP,0,sub
2022,Antonov An-2R,2,w/o
2022,Let L-410UVP-E3,0,w/o
2022,ATR 42-500,0,non
2022,Britten-Norman BN-2A-9 Islander,0,sub
2022,Swearingen SA226-AT Merlin IV,0,sub
2022,Embraer EMB-500 Phenom 100E,0,sub
2022,de Havilland Canada DHC-3T Texas Turbine Otter,0,sub
2022,Raytheon Hawker 800XP,0,sub
2022,Cessna 208B Grand Caravan,0,sub
2022,Antonov An-2,0,w/o
2022,Antonov An-22A,0,sub
2022,Antonov An-26-100,0,w/o
2022,Antonov An-74T,0,w/o
2022,Cessna 208B Supervan 900,0,sub
2022,Antonov An-26,0,w/o
2022,Antonov An-26,5,w/o
2022,Cessna 208B Grand Caravan,14,w/o
2022,Antonov An-124-100,0,sub
2022,Antonov An-225,0,w/o
2022,Cessna 208B Grand Caravan,0,sub
2022,Embraer ERJ 170-200 LR (ERJ-175LR),0,min
2022,Cessna 208B Grand Caravan EX,0,sub
2022,Shaanxi Y-8Q,11,w/o
2022,Embraer EMB-500 Phenom 100,0,sub
2022,Boeing 737-8AS (WL),0,non
2022,Dornier 228-101,0,sub
2022,Beechcraft 200 Super King Air,0,sub
2022,Cessna 525B CitationJet CJ3,0,sub
2022,Cessna 208 Caravan I,0,w/o
2022,Honda HA-420 HondaJet,0,sub
2022,Beechcraft 1900D,0,sub
2022,Cessna 208B Super Cargomaster,0,min
